id,driver,two_letter_country_code,two_letter_continent_code,steering_device
1,Mike Murphy,,,
2,Perre,BE,EU,controller
3,Nico Minardi,AT,EU,keyboard
4,Doghouse,NL,EU,alternating
5,IxDo,SE,EU,keyboard
6,Palo,FI,EU,keyboard
7,Royal T,US,NA,controller
8,White Van Man,GB,EU,controller
9,ImPERium,IE,EU,controller
10,Nomosizzle,US,NA,controller
11,Kenjo,,,
12,Bearder,,,
13,StarWrek,US,NA,controller
14,McVizn,DE,EU,keyboard
15,Black Rebel,ES,EU,keyboard
16,Dremet,DE,EU,controller
17,polruiz12,,,
18,Stonie uk,,,
19,daone1996jr,,,
20,cmcmgu,x,,
21,Bixon,,,
22,Mastuitta,,,
23,muritopin,BO,SA,keyboard
24,Patient Zer0,,,
25,Dax Werner,DE,EU,keyboard
26,TimmSander,,,
27,Lemonheadiv,x,,
28,Lehdog,HU,EU,keyboard
29,Palladean,DE,EU,keyboard
30,Fedorov,,,
31,madkpv,,,
32,Shadow,GB,EU,controller
33,Dragoncrawl,DE,EU,controller
34,ronivaldo,BR,SA,controller
35,nicobruno,,,
36,Sann99,,,
37,TiraNaunau,BE,EU,keyboard
38,Deeph,FR,EU,controller
39,VivaMidnight,GB,EU,controller
40,BEEFHAMMA,US,NA,controller
41,Fenrir,GB,EU,controller
42,Nelson,NL,EU,controller
43,vikividik,,,
44,Sasuke,,,
45,Bowris,,,
46,Fresca,US,NA,controller
47,SuperRiley10,GB,EU,controller
48,Terry D,,,
49,XilverWolf,,,
50,Marky,,,
51,Teodule,,,
52,bkrazy,US,NA,keyboard
53,FrozenMoose,CA,NA,keyboard
54,Footy,FR,EU,controller
55,Twingamer12120,,,
56,Nug,US,NA,controller
57,Autismo,,,
58,ismaelrg1,,,
59,iKr4ts,,,
60,Piloto 60,x,,
61,AfrenchCouple,FR,EU,controller
62,Baegger,,,
63,WarL,FR,EU,controller
64,Knives,FR,EU,controller
65,Lazar,AT,EU,controller
66,SusoVK,,,
67,gyrgypchy,HU,EU,keyboard
68,Lyker,BR,SA,keyboard
69,chrisautosport,,,
70,Formula Brumnh,,,
71,Boxerevo,,,
72,Wheaties Cereal,CA,NA,controller
73,Carlos M,,,
